,it,alpha,result
0,0.0,0.1,30.796617526264974
1,0.0,0.2,15.802623474154993
2,0.0,0.3,10.142103589595912
3,0.0,0.4,11.940635821659647
4,0.0,0.5,3.9813377376036456
5,1.0,0.1,58.35864783268557
6,1.0,0.2,29.36764208040742
7,1.0,0.3,14.924395535811914
8,1.0,0.4,11.097906734075709
9,1.0,0.5,6.964804274238274
10,2.0,0.1,42.95044560303562
11,2.0,0.2,19.928426732577286
12,2.0,0.3,14.040365804549864
13,2.0,0.4,7.981062586853394
14,2.0,0.5,11.022701996948514
15,3.0,0.1,44.71106543044584
16,3.0,0.2,35.10685332577385
17,3.0,0.3,10.94455547366715
18,3.0,0.4,8.961183749455072
19,3.0,0.5,10.95807904265969
20,4.0,0.1,31.240759869168343
21,4.0,0.2,15.975914589526258
22,4.0,0.3,10.03760404948941
23,4.0,0.4,7.152451816530567
24,4.0,0.5,6.964821009302083
25,5.0,0.1,36.970481102098
26,5.0,0.2,14.279405890108572
27,5.0,0.3,7.016393444299123
28,5.0,0.4,7.993939601085023
29,5.0,0.5,3.979836228373159
30,6.0,0.1,19.163510896055694
31,6.0,0.2,19.67346179870755
32,6.0,0.3,9.237661305138896
33,6.0,0.4,6.964982512652348
34,6.0,0.5,10.944549628026195
35,7.0,0.1,90.12417672667118
36,7.0,0.2,12.036044030209679
37,7.0,0.3,11.956776102806582
38,7.0,0.4,10.944553545516786
39,7.0,0.5,4.974795285466451
40,8.0,0.1,62.90085897053056
41,8.0,0.2,20.00497475221495
42,8.0,0.3,8.323451445510672
43,8.0,0.4,8.515222467150927
44,8.0,0.5,4.372458531378317
45,9.0,0.1,77.00086323565061
46,9.0,0.2,20.932454821957528
47,9.0,0.3,10.115327935408828
48,9.0,0.4,10.947908384334108
49,9.0,0.5,4.974795285466449
50,10.0,0.1,148.83405235782126
51,10.0,0.2,17.17483642120236
52,10.0,0.3,8.170452435461241
53,10.0,0.4,9.000216163621356
54,10.0,0.5,7.959672456746322
55,11.0,0.1,24.89560808428628
56,11.0,0.2,12.026120954453788
57,11.0,0.3,9.019593892023893
58,11.0,0.4,9.966975637386522
59,11.0,0.5,8.954631513839612
60,12.0,0.1,36.929615670305374
61,12.0,0.2,9.734846216035264
62,12.0,0.3,8.009340936858743
63,12.0,0.4,8.120199353335368
64,12.0,0.5,6.999679205291649
65,13.0,0.1,48.33605477530061
66,13.0,0.2,18.358729038941057
67,13.0,0.3,14.417036872365975
68,13.0,0.4,4.974795285466449
69,13.0,0.5,6.968407474140104
70,14.0,0.1,127.17350415016877
71,14.0,0.2,16.058289157241752
72,14.0,0.3,9.964224889977482
73,14.0,0.4,6.964713399653032
74,14.0,0.5,4.054309415502802
10,0,0.6,7.959672456746322
10,0,0.7,8.990809196644731
10,0,0.8,10.944556965295869
10,0,0.9,7.2891807907247195
10,0,1.0,30.84369042190125
10,1,0.6,3.267216371462478
10,1,0.7,9.005571166767947
10,1,0.8,10.944562930915572
10,1,0.9,8.954738680301974
10,1,1.0,13.929416723667915
10,2,0.6,7.205848869603024
10,2,0.7,4.979629797406966
10,2,0.8,8.98239610669327
10,2,0.9,14.926535394344137
10,2,1.0,18.90421704695345
10,3,0.6,5.969754342559744
10,3,0.7,11.939503647300409
10,3,0.8,11.958291652906059
10,3,0.9,12.715206949507252
10,3,1.0,30.843690421901254
10,4,0.6,9.333555678576742
10,4,0.7,12.955694268269589
10,4,0.8,10.944549628026195
10,4,0.9,10.307124643743236
10,4,1.0,18.90421704695345
10,5,0.6,6.066498503398739
10,5,0.7,7.043656333439422
10,5,0.8,11.998080193199046
10,5,0.9,11.939508685119485
10,5,1.0,15.919334837854498
10,6,0.6,7.970351201216241
10,6,0.7,11.94081079064392
10,6,0.8,10.945287587594605
10,6,0.9,12.00265166424593
10,6,1.0,10.944549628026195
10,7,0.6,5.061609335544512
10,7,0.7,9.068733412271364
10,7,0.8,4.662957147492383
10,7,0.9,12.961870627994367
10,7,1.0,26.863879428691888
10,8,0.6,10.010744450696404
10,8,0.7,10.154044612611449
10,8,0.8,9.084920674452006
10,8,0.9,7.999041586811842
10,8,1.0,16.91429893276687
10,9,0.6,5.991719572991567
10,9,0.7,8.042265208204293
10,9,0.8,8.954699186377658
10,9,0.9,14.924380818580282
10,9,1.0,36.81343972664192
10,10,0.6,8.954631513839614
10,10,0.7,10.96524544390683
10,10,0.8,6.916379176722447
10,10,0.9,10.408969749387746
10,10,1.0,18.90421704695345
10,11,0.6,8.954631513839612
10,11,0.7,7.964797791993087
10,11,0.8,6.966401431067439
10,11,0.9,12.379484096452899
10,11,1.0,19.899176104046738
10,12,0.6,10.019816608677813
10,12,0.7,9.954385218529849
10,12,0.8,7.959672456746322
10,12,0.9,4.974795285466449
10,12,1.0,24.87396635169661
10,13,0.6,9.078040657285552
10,13,0.7,5.96978031076519
10,13,0.8,6.96471339965303
10,13,0.9,12.13894039384177
10,13,1.0,19.899171066227673
10,14,0.6,7.959849910053444
10,14,0.7,12.939951086225998
10,14,0.8,7.959672456746322
10,14,0.9,5.024537700551921
10,14,1.0,18.90421200913437
