uCR uF c size_gen it cost
0.1 0.1 0.1 100 0 34.89803070754895
0.1 0.1 0.1 100 1 15.156058456605221
0.1 0.1 0.1 100 2 0.0
0.1 0.1 0.1 100 3 0.0
0.1 0.1 0.1 100 4 0.0
0.1 0.1 0.1 100 5 1.7763568394002505e-15
0.1 0.1 0.1 100 6 84.22241194088669
0.1 0.1 0.1 100 7 0.0
0.1 0.1 0.1 100 8 57.20217937041241
0.1 0.1 0.1 100 9 1.7763568394002505e-15
0.1 0.1 0.1 100 10 0.0
0.1 0.1 0.1 100 11 14.14742508349589
0.1 0.1 0.1 100 12 26.948926139658624
0.1 0.1 0.1 100 13 42.328469376152356
0.1 0.1 0.1 100 14 30.507973901339994
0.1 0.1 0.1 200 0 1.1309707483898332
0.1 0.1 0.1 200 1 0.9966955212170294
0.1 0.1 0.1 200 2 4.5556519070899526e-05
0.1 0.1 0.1 200 3 0.00031999586312991823
0.1 0.1 0.1 200 4 1.1245424138809224
0.1 0.1 0.1 200 5 0.00041140432398023563
0.1 0.1 0.1 200 6 7.35481767755175e-06
0.1 0.1 0.1 200 7 6.777120901801936e-06
0.1 0.1 0.1 200 8 9.289127183187418e-05
0.1 0.1 0.1 200 9 0.002464946676736801
0.1 0.1 0.1 200 10 5.4629506719194865e-05
0.1 0.1 0.1 200 11 0.0002326087609354488
0.1 0.1 0.1 200 12 0.003137419777718975
0.1 0.1 0.1 200 13 0.0008945519801173418
0.1 0.1 0.1 200 14 0.0005086245993535243
0.1 0.1 0.3 100 0 67.70401760792632
0.1 0.1 0.3 100 1 39.1345270121676
0.1 0.1 0.3 100 2 27.645609903975007
0.1 0.1 0.3 100 3 39.48723653896786
0.1 0.1 0.3 100 4 1.7763568394002505e-15
0.1 0.1 0.3 100 5 15.137031983446507
0.1 0.1 0.3 100 6 1.7763568394002505e-15
0.1 0.1 0.3 100 7 40.36097779564648
0.1 0.1 0.3 100 8 54.19574160556256
0.1 0.1 0.3 100 9 18.774508842871438
0.1 0.1 0.3 100 10 0.0
0.1 0.1 0.3 100 11 0.0
0.1 0.1 0.3 100 12 11.091602487570665
0.1 0.1 0.3 100 13 53.44797189846181
0.1 0.1 0.3 100 14 0.0
0.1 0.1 0.3 200 0 2.1712521562222022
0.1 0.1 0.3 200 1 1.039777294537437
0.1 0.1 0.3 200 2 1.0098298852794922
0.1 0.1 0.3 200 3 1.143966061693197
0.1 0.1 0.3 200 4 0.0589335347173261
0.1 0.1 0.3 200 5 1.0087263383958476
0.1 0.1 0.3 200 6 2.1939365429078865
0.1 0.1 0.3 200 7 0.014329007825489626
0.1 0.1 0.3 200 8 2.1178621681897596
0.1 0.1 0.3 200 9 0.004682452558094852
0.1 0.1 0.3 200 10 2.283710122790165
0.1 0.1 0.3 200 11 1.0317434261345415
0.1 0.1 0.3 200 12 0.0010800816592642093
0.1 0.1 0.3 200 13 0.006199456352092625
0.1 0.1 0.3 200 14 1.1971094845729855
0.1 0.1 0.5 100 0 32.166875731912654
0.1 0.1 0.5 100 1 64.77023687417086
0.1 0.1 0.5 100 2 32.54160302927818
0.1 0.1 0.5 100 3 87.719704214731
0.1 0.1 0.5 100 4 50.02158846748449
0.1 0.1 0.5 100 5 54.530957093098195
0.1 0.1 0.5 100 6 27.081447572751067
0.1 0.1 0.5 100 7 23.434463284850416
0.1 0.1 0.5 100 8 29.358343218034165
0.1 0.1 0.5 100 9 54.881329167816084
0.1 0.1 0.5 100 10 24.604679301508078
0.1 0.1 0.5 100 11 33.9442943755322
0.1 0.1 0.5 100 12 26.72761671276329
0.1 0.1 0.5 100 13 60.57907838552328
0.1 0.1 0.5 100 14 17.79829322703699
0.1 0.1 0.5 200 0 1.0907649170366884
0.1 0.1 0.5 200 1 0.02337055397626564
0.1 0.1 0.5 200 2 2.0841359809792213
0.1 0.1 0.5 200 3 0.0006366138999567283
0.1 0.1 0.5 200 4 0.004480678519570347
0.1 0.1 0.5 200 5 1.0112919309280883
0.1 0.1 0.5 200 6 2.390273245326819
0.1 0.1 0.5 200 7 0.06274379740152192
0.1 0.1 0.5 200 8 0.013177657330626147
0.1 0.1 0.5 200 9 0.019264680931179612
0.1 0.1 0.5 200 10 1.1242136327122587
0.1 0.1 0.5 200 11 2.0488587112453374
0.1 0.1 0.5 200 12 1.561828957853745
0.1 0.1 0.5 200 13 0.0343562918601279
0.1 0.1 0.5 200 14 3.1661052841414072
0.1 0.1 0.7 100 0 20.585378058788827
0.1 0.1 0.7 100 1 46.186602778851885
0.1 0.1 0.7 100 2 0.0
0.1 0.1 0.7 100 3 39.83020273821328
0.1 0.1 0.7 100 4 32.969351258333695
0.1 0.1 0.7 100 5 24.984845065271507
0.1 0.1 0.7 100 6 61.01533607466976
0.1 0.1 0.7 100 7 20.5580933764408
0.1 0.1 0.7 100 8 40.49093255319005
0.1 0.1 0.7 100 9 19.335326365550173
0.1 0.1 0.7 100 10 35.33253951688167
0.1 0.1 0.7 100 11 40.952305176083414
0.1 0.1 0.7 100 12 43.21430924089376
0.1 0.1 0.7 100 13 37.2370985788362
0.1 0.1 0.7 100 14 51.86451050839797
0.1 0.1 0.7 200 0 0.00311250539011354
0.1 0.1 0.7 200 1 2.379915921469756
0.1 0.1 0.7 200 2 1.073452955602642
0.1 0.1 0.7 200 3 1.1698303783494026
0.1 0.1 0.7 200 4 2.038966226400561
0.1 0.1 0.7 200 5 1.4012322206700532
0.1 0.1 0.7 200 6 3.181060758691938
0.1 0.1 0.7 200 7 0.0038412778351037957
0.1 0.1 0.7 200 8 1.0085131806378218
0.1 0.1 0.7 200 9 2.0972654576061043
0.1 0.1 0.7 200 10 2.504223212175255
0.1 0.1 0.7 200 11 1.0421053295532818
0.1 0.1 0.7 200 12 1.0574878971420691
0.1 0.1 0.7 200 13 2.077277906269
0.1 0.1 0.7 200 14 4.125666005896914
0.1 0.1 0.9 100 0 64.35881541845382
0.1 0.1 0.9 100 1 43.6255428542562
0.1 0.1 0.9 100 2 51.28419412950917
0.1 0.1 0.9 100 3 23.635523010576698
0.1 0.1 0.9 100 4 50.357197011578535
0.1 0.1 0.9 100 5 0.0
0.1 0.1 0.9 100 6 27.64825763001921
0.1 0.1 0.9 100 7 76.95938725319179
0.1 0.1 0.9 100 8 83.12731814624819
0.1 0.1 0.9 100 9 33.745214525969196
0.1 0.1 0.9 100 10 43.04266622463221
0.1 0.1 0.9 100 11 47.56169802209999
0.1 0.1 0.9 100 12 59.591567745352236
0.1 0.1 0.9 100 13 57.397067528195
0.1 0.1 0.9 100 14 90.44674329902011
0.1 0.1 0.9 200 0 0.009496256251495083
0.1 0.1 0.9 200 1 0.16936278539481364
0.1 0.1 0.9 200 2 1.0072201663757756
0.1 0.1 0.9 200 3 2.2170326139650687
0.1 0.1 0.9 200 4 1.117656699115745
0.1 0.1 0.9 200 5 0.04101716732079552
0.1 0.1 0.9 200 6 3.1993570540804868
0.1 0.1 0.9 200 7 1.221052240120665
0.1 0.1 0.9 200 8 0.020398735320998895
0.1 0.1 0.9 200 9 1.0030814646272397
0.1 0.1 0.9 200 10 1.050561981984087
0.1 0.1 0.9 200 11 0.010583017591798694
0.1 0.1 0.9 200 12 2.2490048226646167
0.1 0.1 0.9 200 13 0.015226168288679176
0.1 0.1 0.9 200 14 2.178541905948828
0.1 0.3 0.1 100 0 42.012130321840004
0.1 0.3 0.1 100 1 0.0
0.1 0.3 0.1 100 2 60.216611661645146
0.1 0.3 0.1 100 3 52.49275733261383
0.1 0.3 0.1 100 4 0.0
0.1 0.3 0.1 100 5 0.0
0.1 0.3 0.1 100 6 39.162220757849106
0.1 0.3 0.1 100 7 0.0
0.1 0.3 0.1 100 8 0.0
0.1 0.3 0.1 100 9 0.0
0.1 0.3 0.1 100 10 39.91941794457985
0.1 0.3 0.1 100 11 0.0
0.1 0.3 0.1 100 12 0.0
0.1 0.3 0.1 100 13 0.0
0.1 0.3 0.1 100 14 0.0
0.1 0.3 0.1 200 0 0.00027786650369776567
0.1 0.3 0.1 200 1 0.0004135061656427297
0.1 0.3 0.1 200 2 0.00027556415423646285
0.1 0.3 0.1 200 3 0.004460191927583068
0.1 0.3 0.1 200 4 6.0510073183195345e-06
0.1 0.3 0.1 200 5 0.9967615476538132
0.1 0.3 0.1 200 6 0.0036949294238901587
0.1 0.3 0.1 200 7 1.018146702155347
0.1 0.3 0.1 200 8 2.0066062045670634
0.1 0.3 0.1 200 9 0.00011227420122672527
0.1 0.3 0.1 200 10 0.0016688437341567663
0.1 0.3 0.1 200 11 0.0006023068265719189
0.1 0.3 0.1 200 12 1.0057941566622493
0.1 0.3 0.1 200 13 0.0005618829629678856
0.1 0.3 0.1 200 14 0.00024010068547397623
0.1 0.3 0.3 100 0 58.46250058406229
0.1 0.3 0.3 100 1 56.965717882088946
0.1 0.3 0.3 100 2 58.418181045457786
0.1 0.3 0.3 100 3 0.0
0.1 0.3 0.3 100 4 24.76521160734301
0.1 0.3 0.3 100 5 33.51187266942135
0.1 0.3 0.3 100 6 37.325839798249376
0.1 0.3 0.3 100 7 46.75708669355208
0.1 0.3 0.3 100 8 73.3690339884211
0.1 0.3 0.3 100 9 68.73038053418057
0.1 0.3 0.3 100 10 0.0
0.1 0.3 0.3 100 11 79.03314643578568
0.1 0.3 0.3 100 12 41.453678465343316
0.1 0.3 0.3 100 13 44.70115315181502
0.1 0.3 0.3 100 14 15.382728556854065
0.1 0.3 0.3 200 0 0.013749274985617177
0.1 0.3 0.3 200 1 0.014003973057258534
0.1 0.3 0.3 200 2 0.143625581042091
0.1 0.3 0.3 200 3 1.0115962792497548
0.1 0.3 0.3 200 4 0.009746904528347144
0.1 0.3 0.3 200 5 0.026936144938773054
0.1 0.3 0.3 200 6 1.1299489950061758
0.1 0.3 0.3 200 7 0.017518226353784527
0.1 0.3 0.3 200 8 0.013613114015209149
0.1 0.3 0.3 200 9 0.011165125457960556
0.1 0.3 0.3 200 10 0.02018627416068597
0.1 0.3 0.3 200 11 1.9053215507359926
0.1 0.3 0.3 200 12 0.0065268230110664405
0.1 0.3 0.3 200 13 1.0345038274708855
0.1 0.3 0.3 200 14 0.007018596905103536
0.1 0.3 0.5 100 0 55.85641864146574
0.1 0.3 0.5 100 1 58.949542962639654
0.1 0.3 0.5 100 2 42.839514072936836
0.1 0.3 0.5 100 3 0.0
0.1 0.3 0.5 100 4 58.474226496417124
0.1 0.3 0.5 100 5 0.0
0.1 0.3 0.5 100 6 50.10859571026565
0.1 0.3 0.5 100 7 48.60163897920856
0.1 0.3 0.5 100 8 52.881592538048636
0.1 0.3 0.5 100 9 46.74650780523538
0.1 0.3 0.5 100 10 16.640362307565834
0.1 0.3 0.5 100 11 31.936692837221536
0.1 0.3 0.5 100 12 17.255435462808066
0.1 0.3 0.5 100 13 99.3125519113273
0.1 0.3 0.5 100 14 123.23417359121744
0.1 0.3 0.5 200 0 0.10611186256112681
0.1 0.3 0.5 200 1 1.0277428700165494
0.1 0.3 0.5 200 2 0.005263508162570929
0.1 0.3 0.5 200 3 0.026973865213099302
0.1 0.3 0.5 200 4 1.0904146576753213
