uCR uF c size_gen it cost
0.1 0.1 0.1 100 0 21.106831310153837
0.1 0.1 0.1 100 1 2.113807753545416e-05
0.1 0.1 0.1 100 2 0.0002746640290336444
0.1 0.1 0.1 100 3 0.13522101045994006
0.1 0.1 0.1 100 4 5.378598274319302e-06
0.1 0.1 0.1 100 5 28.308555596695008
0.1 0.1 0.1 100 6 0.0007140699980894283
0.1 0.1 0.1 100 7 0.001173376724802111
0.1 0.1 0.1 100 8 33.27240753156655
0.1 0.1 0.1 100 9 28.531716645804188
0.1 0.1 0.1 100 10 14.451947128261875
0.1 0.1 0.1 100 11 0.0009539168578651669
0.1 0.1 0.1 100 12 1.995152521012992
0.1 0.1 0.1 100 13 1.0042705891552934
0.1 0.1 0.1 100 14 31.203596847770108
0.1 0.1 0.1 200 0 11.005201690528978
0.1 0.1 0.1 200 1 17.541860686311285
0.1 0.1 0.1 200 2 20.133728159508014
0.1 0.1 0.1 200 3 24.198441124549916
0.1 0.1 0.1 200 4 19.963963896705934
0.1 0.1 0.1 200 5 24.307662276333595
0.1 0.1 0.1 200 6 16.405863660524133
0.1 0.1 0.1 200 7 15.61497580467749
0.1 0.1 0.1 200 8 14.976738357733316
0.1 0.1 0.1 200 9 21.967758618296216
0.1 0.1 0.1 200 10 21.252076495120015
0.1 0.1 0.1 200 11 20.598827101784146
0.1 0.1 0.1 200 12 18.08470318531598
0.1 0.1 0.1 200 13 19.49869317065742
0.1 0.1 0.1 200 14 23.850048983250563
0.1 0.1 0.3 100 0 11.518950881806878
0.1 0.1 0.3 100 1 28.528055832477214
0.1 0.1 0.3 100 2 33.85735884940181
0.1 0.1 0.3 100 3 48.67244213796111
0.1 0.1 0.3 100 4 17.357650489546863
0.1 0.1 0.3 100 5 0.014730954826493559
0.1 0.1 0.3 100 6 68.02246267163247
0.1 0.1 0.3 100 7 26.656978366804644
0.1 0.1 0.3 100 8 45.046916750281206
0.1 0.1 0.3 100 9 7.702641745233052e-05
0.1 0.1 0.3 100 10 39.51842938471009
0.1 0.1 0.3 100 11 21.037847731906794
0.1 0.1 0.3 100 12 35.557012545836386
0.1 0.1 0.3 100 13 0.9985193668898411
0.1 0.1 0.3 100 14 42.07438708667867
0.1 0.1 0.3 200 0 18.423248024980566
0.1 0.1 0.3 200 1 23.162201064450116
0.1 0.1 0.3 200 2 15.870027728544663
0.1 0.1 0.3 200 3 19.397270064793446
0.1 0.1 0.3 200 4 16.26795292737404
0.1 0.1 0.3 200 5 22.23660210486613
0.1 0.1 0.3 200 6 19.296574149436342
0.1 0.1 0.3 200 7 20.75808714098769
0.1 0.1 0.3 200 8 22.052711513360542
0.1 0.1 0.3 200 9 18.96919489872854
0.1 0.1 0.3 200 10 18.59221869551366
0.1 0.1 0.3 200 11 27.387041362957902
0.1 0.1 0.3 200 12 19.59686095204322
0.1 0.1 0.3 200 13 26.804734713871284
0.1 0.1 0.3 200 14 13.554252251162247
0.1 0.1 0.5 100 0 27.367817128168667
0.1 0.1 0.5 100 1 0.005684875258491928
0.1 0.1 0.5 100 2 55.42910000478078
0.1 0.1 0.5 100 3 56.46764439681766
0.1 0.1 0.5 100 4 27.832476388045357
0.1 0.1 0.5 100 5 0.04571393341933927
0.1 0.1 0.5 100 6 28.83655939080591
0.1 0.1 0.5 100 7 20.814529650251266
0.1 0.1 0.5 100 8 26.15205670538196
0.1 0.1 0.5 100 9 2.067955407070599
